iter	Passed	Remaining
1292	3953	11333
1293	3956	11330
1294	3959	11327
1295	3962	11323
1296	3965	11320
1297	3967	11316
1298	3970	11313
1299	3973	11310
1300	3977	11307
1301	3980	11304
1302	3983	11301
1303	3986	11298
1304	3989	11294
1305	3992	11291
1306	3995	11288
1307	3998	11286
1308	4001	11283
1309	4004	11279
1310	4007	11276
1311	4010	11273
1312	4013	11270
1313	4016	11267
1314	4020	11265
1315	4023	11262
1316	4025	11258
1317	4028	11255
1318	4031	11252
1319	4035	11249
1320	4038	11246
1321	4041	11242
1322	4044	11239
1323	4047	11236
1324	4050	11233
1325	4052	11229
1326	4056	11226
1327	4058	11223
1328	4061	11219
1329	4064	11216
1330	4067	11213
1331	4071	11210
1332	4074	11207
1333	4077	11204
1334	4079	11200
1335	4083	11197
1336	4086	11194
1337	4089	11191
1338	4092	11189
1339	4095	11186
1340	4098	11183
1341	4101	11180
1342	4105	11178
1343	4108	11175
1344	4111	11173
1345	4114	11170
1346	4118	11168
1347	4121	11166
1348	4124	11163
1349	4127	11160
1350	4131	11158
1351	4134	11155
1352	4137	11153
1353	4140	11150
1354	4144	11147
1355	4146	11144
1356	4149	11140
1357	4152	11137
1358	4155	11134
1359	4158	11131
1360	4161	11127
1361	4164	11124
1362	4167	11121
1363	4170	11118
1364	4173	11115
1365	4176	11111
1366	4179	11108
1367	4182	11105
1368	4186	11103
1369	4189	11100
1370	4192	11097
1371	4195	11094
1372	4198	11091
1373	4201	11088
1374	4204	11085
1375	4208	11083
1376	4211	11080
1377	4214	11077
1378	4217	11075
1379	4221	11072
1380	4224	11070
1381	4227	11068
1382	4231	11065
1383	4234	11063
1384	4237	11060
1385	4240	11057
1386	4243	11055
1387	4247	11052
1388	4250	11050
1389	4253	11047
1390	4256	11044
1391	4259	11041
1392	4263	11038
1393	4266	11036
1394	4269	11034
1395	4272	11031
1396	4276	11028
1397	4279	11025
1398	4282	11022
1399	4285	11019
1400	4288	11016
1401	4291	11013
1402	4294	11010
1403	4297	11007
1404	4300	11004
1405	4304	11001
1406	4307	10999
1407	4310	10995
1408	4313	10992
1409	4316	10989
1410	4319	10985
1411	4322	10982
1412	4325	10979
1413	4328	10976
1414	4330	10972
1415	4333	10969
1416	4336	10966
1417	4339	10962
1418	4342	10959
1419	4345	10956
1420	4348	10953
1421	4351	10950
1422	4355	10947
1423	4357	10943
1424	4360	10940
1425	4364	10937
1426	4367	10934
1427	4370	10931
1428	4373	10928
1429	4376	10924
1430	4379	10921
1431	4382	10918
1432	4384	10914
1433	4387	10911
1434	4390	10907
1435	4393	10904
1436	4396	10901
1437	4399	10898
1438	4402	10894
1439	4405	10891
1440	4408	10888
1441	4411	10885
1442	4415	10883
1443	4418	10879
1444	4421	10876
1445	4424	10873
1446	4427	10870
1447	4430	10867
1448	4433	10864
1449	4436	10861
1450	4439	10857
1451	4442	10855
1452	4445	10851
1453	4448	10848
1454	4451	10845
1455	4454	10843
1456	4457	10840
1457	4461	10837
1458	4464	10834
1459	4467	10831
1460	4470	10828
1461	4473	10826
1462	4476	10823
1463	4480	10822
1464	4484	10820
1465	4487	10817
1466	4490	10814
1467	4493	10811
1468	4496	10808
1469	4499	10805
1470	4502	10801
1471	4505	10798
1472	4508	10795
1473	4511	10791
1474	4514	10788
1475	4517	10785
1476	4520	10782
1477	4523	10779
1478	4526	10775
1479	4529	10772
1480	4532	10770
1481	4536	10767
1482	4538	10764
1483	4541	10761
1484	4544	10757
1485	4547	10754
1486	4550	10751
1487	4554	10748
1488	4557	10745
1489	4560	10742
1490	4563	10738
1491	4566	10735
1492	4569	10732
1493	4572	10729
1494	4575	10726
1495	4577	10722
1496	4580	10719
1497	4584	10716
1498	4587	10713
1499	4590	10710
1500	4593	10707
1501	4596	10704
1502	4599	10701
1503	4602	10698
1504	4605	10694
1505	4608	10691
1506	4611	10688
1507	4614	10685
1508	4617	10682
1509	4620	10679
1510	4623	10675
1511	4626	10672
1512	4629	10669
1513	4632	10666
1514	4635	10663
1515	4638	10659
1516	4641	10656
1517	4644	10653
1518	4647	10650
1519	4650	10646
1520	4653	10643
1521	4656	10640
1522	4659	10637
1523	4662	10634
1524	4665	10630
1525	4668	10627
1526	4671	10624
1527	4674	10621
1528	4677	10618
1529	4680	10615
1530	4683	10612
1531	4686	10609
1532	4689	10606
1533	4692	10603
1534	4695	10600
1535	4698	10596
1536	4701	10593
1537	4704	10590
1538	4707	10587
1539	4711	10584
1540	4714	10581
1541	4717	10578
1542	4720	10575
1543	4723	10572
1544	4726	10569
1545	4729	10566
1546	4732	10563
1547	4735	10560
1548	4738	10557
1549	4741	10554
1550	4744	10551
1551	4747	10548
1552	4750	10545
1553	4754	10542
1554	4757	10538
1555	4760	10535
1556	4763	10533
1557	4766	10529
1558	4769	10526
1559	4772	10523
1560	4775	10520
1561	4778	10517
1562	4781	10513
1563	4784	10511
1564	4787	10507
1565	4790	10504
1566	4793	10502
1567	4796	10498
1568	4799	10496
1569	4803	10493
1570	4806	10490
1571	4809	10487
1572	4812	10484
1573	4815	10481
1574	4818	10478
1575	4821	10475
1576	4825	10473
1577	4828	10470
1578	4831	10467
1579	4834	10463
1580	4837	10460
1581	4840	10457
1582	4843	10454
1583	4846	10451
1584	4849	10448
1585	4852	10444
1586	4855	10441
1587	4858	10438
1588	4861	10435
1589	4864	10432
1590	4867	10430
1591	4870	10426
1592	4873	10423
1593	4876	10420
1594	4879	10417
1595	4882	10414
1596	4885	10411
1597	4888	10408
1598	4891	10404
1599	4894	10401
1600	4898	10398
1601	4901	10395
1602	4904	10392
1603	4907	10389
1604	4910	10386
1605	4912	10382
1606	4916	10379
1607	4918	10376
1608	4921	10372
1609	4924	10369
1610	4927	10366
1611	4930	10362
1612	4933	10359
1613	4936	10356
1614	4939	10353
1615	4942	10350
1616	4945	10347
1617	4948	10343
1618	4951	10340
1619	4954	10337
1620	4957	10334
1621	4960	10331
1622	4963	10328
1623	4966	10324
1624	4970	10323
1625	4973	10320
1626	4976	10317
1627	4979	10314
1628	4982	10311
1629	4986	10308
1630	4989	10305
1631	4992	10302
1632	4995	10299
1633	4998	10295
1634	5001	10292
1635	5004	10289
1636	5007	10286
1637	5010	10283
1638	5013	10280
1639	5016	10277
1640	5019	10273
1641	5022	10270
1642	5025	10267
1643	5028	10264
1644	5031	10261
1645	5034	10257
1646	5037	10254
1647	5039	10251
1648	5042	10247
1649	5045	10244
1650	5048	10241
1651	5051	10238
1652	5054	10234
1653	5057	10231
1654	5060	10228
1655	5064	10225
1656	5067	10223
1657	5070	10220
1658	5073	10217
1659	5076	10214
1660	5079	10211
1661	5082	10208
1662	5085	10205
1663	5088	10202
1664	5091	10199
1665	5094	10195
1666	5097	10192
1667	5100	10189
1668	5103	10185
1669	5106	10182
1670	5109	10179
1671	5112	10176
1672	5116	10173
1673	5119	10171
1674	5122	10168
1675	5125	10165
1676	5129	10163
1677	5132	10160
1678	5135	10158
1679	5139	10156
1680	5142	10153
1681	5145	10150
1682	5148	10147
1683	5151	10144
1684	5155	10141
1685	5158	10139
1686	5161	10136
1687	5164	10133
1688	5167	10130
1689	5170	10127
1690	5173	10124
1691	5176	10121
1692	5179	10118
