iter	Passed	Remaining
1630	4955	10236
1631	4958	10233
1632	4961	10229
1633	4964	10226
1634	4967	10222
1635	4969	10219
1636	4972	10215
1637	4975	10212
1638	4978	10209
1639	4981	10205
1640	4984	10202
1641	4987	10199
1642	4990	10196
1643	4993	10192
1644	4996	10189
1645	4999	10186
1646	5001	10182
1647	5004	10179
1648	5007	10175
1649	5010	10172
1650	5013	10169
1651	5016	10166
1652	5019	10163
1653	5022	10159
1654	5025	10156
1655	5028	10153
1656	5033	10154
1657	5036	10151
1658	5039	10148
1659	5042	10145
1660	5045	10142
1661	5048	10139
1662	5051	10136
1663	5054	10133
1664	5057	10130
1665	5060	10127
1666	5063	10124
1667	5066	10120
1668	5069	10117
1669	5072	10114
1670	5075	10111
1671	5078	10108
1672	5081	10104
1673	5084	10102
1674	5087	10099
1675	5090	10096
1676	5093	10093
1677	5096	10090
1678	5100	10087
1679	5103	10084
1680	5106	10082
1681	5109	10079
1682	5112	10076
1683	5115	10072
1684	5118	10070
1685	5121	10067
1686	5124	10064
1687	5128	10061
1688	5130	10058
1689	5133	10055
1690	5136	10052
1691	5140	10049
1692	5143	10046
